Overlay,HeritagePlace,PaintControls,InternalControls,TreeControls,FenceControls,IncludedInVHR,Included,VHR,Prohibited,AboriginalHeritagePlace,Status,Expiry
HO249,"16-18 CUBITT STREET RICHMOND Terrace Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO249,HO249
HO250,"9-11 DAVID STREET RICHMOND Former Builders Steel Form Supply Co. Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO250,HO250
HO251,138-160 BUCKINGHAM STREET RICHMOND Primary School No. 2798,-,-,-,-,Yes Ref No H1635,Yes,H1635,No,No,HO251,HO251
HO252,"26 DOONSIDE STREET RICHMOND Former Repco Offices Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO252,HO252
HO253,"30-38 DOVER STREET RICHMOND Hurst Terrace Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO253,HO253
HO343,"105-115 DOVER STREET RICHMOND Slade Knitwear Sign Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO343,HO343
HO254,"19 DUKE STREET RICHMOND Former Council Stables Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO254,HO254
HO256,"1 EGAN STREET RICHMOND Perseverance Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO256,HO256
HO257,29 ERIN STREET RICHMOND Elim,-,-,-,-,Yes Ref No H651,Yes,H651,No,No,HO257,HO257
HO258,24-28 GIPPS STREET RICHMOND Former Richmond Rifles Volunteer Orderly Room,-,-,-,-,Yes Ref No H1362,Yes,H1362,No,No,HO258,HO258
HO259,21-31 GOODWOOD STREET RICHMOND Pelaco Sign,-,-,-,-,Yes Ref No H1149,Yes,H1149,No,No,HO259,HO259
HO260,7 GLEADELL STREET RICHMOND Former Gas Inspector’s Residence,-,-,-,-,Yes Ref No H1610,Yes,H1610,Yes,No,HO260,HO260
HO261,"3 GLEADELL STREET RICHMOND Richmond Baths Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO261,HO261
HO262,"Yarra River GRANGE ROAD RICHMOND MacRobertson Bridge Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO262,HO262
HO340,"148 HIGHETT STREET RICHMOND House Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO340,HO340
