,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,ROOFTOP,"Floor 1/591 Bridge Rd, Richmond VIC 3121, Australia",EjRGbG9vciAxLCA1OTEgQnJpZGdlIFJkLCBSaWNobW9uZCBWSUMgMzEyMSwgQXVzdHJhbGlhIiMaIQoWChQKEgl3aGT-WULWahHzrqD7TcIvexIHRmxvb3IgMQ,Floor 1 591 Bridge Rd Richmond  VIC  3121         ,-37.8194945,145.0104575,1,3121,OK,subpremise
0,ROOFTOP,"Floor 1/5A Goodwood St, Richmond VIC 3121, Australia",EjVGbG9vciAxLCA1QSBHb29kd29vZCBTdCwgUmljaG1vbmQgVklDIDMxMjEsIEF1c3RyYWxpYSIjGiEKFgoUChIJw4E8vO1C1moRdl4vsmEqufMSB0Zsb29yIDE,Floor 1 5A Goodwood St Richmond  VIC  3121        ,-37.819462,144.992622,1,3121,OK,subpremise
0,ROOFTOP,"Floor 1/24 Tanner St, Richmond VIC 3121, Australia",EjNGbG9vciAxLCAyNCBUYW5uZXIgU3QsIFJpY2htb25kIFZJQyAzMTIxLCBBdXN0cmFsaWEiIxohChYKFAoSCatCmR6TQtZqESLEs_Hp2B8zEgdGbG9vciAx,Floor 1 6/24 Tanner St Richmond  VIC  3121        ,-37.8235627,144.9913312,2,3121,OK,subpremise
0,ROOFTOP,"Floor 1/24 Tanner St, Richmond VIC 3121, Australia",EjNGbG9vciAxLCAyNCBUYW5uZXIgU3QsIFJpY2htb25kIFZJQyAzMTIxLCBBdXN0cmFsaWEiIxohChYKFAoSCatCmR6TQtZqESLEs_Hp2B8zEgdGbG9vciAx,Floor 1 7/24 Tanner St Richmond  VIC  3121        ,-37.8235627,144.9913312,2,3121,OK,subpremise
0,ROOFTOP,"Floor 1/75 Bridge Rd, Richmond VIC 3121, Australia",EjNGbG9vciAxLCA3NSBCcmlkZ2UgUmQsIFJpY2htb25kIFZJQyAzMTIxLCBBdXN0cmFsaWEiIxohChYKFAoSCbucAHTuQtZqEe-IrgeczITbEgdGbG9vciAx,Floor 1 75 Bridge Rd Richmond  VIC  3121          ,-37.8175943,144.9925305,1,3121,OK,subpremise
0,ROOFTOP,"Floor 1/95-97 Brunswick St, Fitzroy VIC 3065, Australia",EjhGbG9vciAxLCA5NS05NyBCcnVuc3dpY2sgU3QsIEZpdHpyb3kgVklDIDMwNjUsIEF1c3RyYWxpYSIjGiEKFgoUChIJr8KrjdtC1moRfpKtCGGwJQoSB0Zsb29yIDE,Floor 1 95-97 Brunswick St Fitzroy  VIC  3065     ,-37.8046756,144.9771704,1,3065,OK,subpremise
0,ROOFTOP,"Floor 1/204-206 Bridge Rd, Richmond VIC 3121, Australia",EjhGbG9vciAxLCAyMDQtMjA2IEJyaWRnZSBSZCwgUmljaG1vbmQgVklDIDMxMjEsIEF1c3RyYWxpYSIjGiEKFgoUChIJMfzjcfFC1moRTMf8t1TkOccSB0Zsb29yIDE,Floor 1 Pool Room 204-206 Bridge Rd Richmond  VIC ,-37.8188205,144.9976537,2,3121,OK,subpremise
0,ROOFTOP,"Floor 1/135 Burnley St, Richmond VIC 3121, Australia",EjVGbG9vciAxLCAxMzUgQnVybmxleSBTdCwgUmljaG1vbmQgVklDIDMxMjEsIEF1c3RyYWxpYSIjGiEKFgoUChIJDy02H1dC1moRXmGaxZkU_aISB0Zsb29yIDE,Floor 1 U 4/135 Burnley St Richmond  VIC  3121    ,-37.8168968,145.0089982,2,3121,OK,subpremise
0,ROOFTOP,"424 Bridge Rd, Richmond VIC 3121, Australia",ChIJ87dkelhC1moRApQZdFdlzlM,Floor 1 to FL 2 132 Bridge Rd Richmond  VIC  3121 ,-37.819401,145.0057601,1,3121,OK,"cafe,establishment,food,point_of_interest,restaurant"
0,ROOFTOP,"FL 2/159-161 Cremorne St, Cremorne VIC 3121, Australia",EjdGTCAyLCAxNTktMTYxIENyZW1vcm5lIFN0LCBDcmVtb3JuZSBWSUMgMzEyMSwgQXVzdHJhbGlhIiAaHgoWChQKEgnPRubtkELWahE5zVRRIrPE0BIERkwgMg,Floor 1 to FL 2 159-161 Cremorne St Cremorne  VIC ,-37.8298752,144.9907161,1,3121,OK,subpremise
0,ROOFTOP,"FL 2/29 Gipps St, Richmond VIC 3121, Australia",Ei9GTCAyLCAyOSBHaXBwcyBTdCwgUmljaG1vbmQgVklDIDMxMjEsIEF1c3RyYWxpYSIgGh4KFgoUChIJW3Pg0fJC1moRbyMFMKmWqa0SBEZMIDI,Floor 1 to FL 2 2/29 Gipps St Richmond  VIC  3121 ,-37.8234922,144.996302,2,3121,OK,subpremise
0,ROOFTOP,"Floor 2/170 Oxford St, Collingwood VIC 3066, Australia",EjdGbG9vciAyLCAxNzAgT3hmb3JkIFN0LCBDb2xsaW5nd29vZCBWSUMgMzA2NiwgQXVzdHJhbGlhIiMaIQoWChQKEgmn-3A34ELWahGkRbzm5inT4hIHRmxvb3IgMg,Floor 2 10/170 Oxford St Collingwood  VIC  3066   ,-37.8024249,144.9853044,2,3066,OK,subpremise
0,ROOFTOP,"Floor 2/86 Queens Parade, Fitzroy North VIC 3068, Australia",EjxGbG9vciAyLCA4NiBRdWVlbnMgUGFyYWRlLCBGaXR6cm95IE5vcnRoIFZJQyAzMDY4LCBBdXN0cmFsaWEiIxohChYKFAoSCRtFYbAiQ9ZqEa-fYtuDIgtsEgdGbG9vciAy,Floor 2 13/86 Queens Pde Fitzroy North  VIC  3068 ,-37.7917669,144.9823097,2,3068,OK,subpremise
0,ROOFTOP,"Floor 2/103-107 Oxford St, Collingwood VIC 3066, Australia",EjtGbG9vciAyLCAxMDMtMTA3IE94Zm9yZCBTdCwgQ29sbGluZ3dvb2QgVklDIDMwNjYsIEF1c3RyYWxpYSIjGiEKFgoUChIJfbW_XeBC1moR3_MCx6DJt1sSB0Zsb29yIDI,Floor 2 201/103-107 Oxford St Collingwood  VIC  30,-37.803187,144.984682,1,3066,OK,subpremise
0,ROOFTOP,"Floor 2/231 Smith St, Fitzroy VIC 3065, Australia",EjJGbG9vciAyLCAyMzEgU21pdGggU3QsIEZpdHpyb3kgVklDIDMwNjUsIEF1c3RyYWxpYSIjGiEKFgoUChIJB_uWdOBC1moRlrisyehPsqASB0Zsb29yIDI,Floor 2 231 Smith St Fitzroy  VIC  3065           ,-37.8020037,144.9834286,1,3065,OK,subpremise
0,ROOFTOP,"Floor 2/256 Church St, Richmond VIC 3121, Australia",EjRGbG9vciAyLCAyNTYgQ2h1cmNoIFN0LCBSaWNobW9uZCBWSUMgMzEyMSwgQXVzdHJhbGlhIiMaIQoWChQKEgkzGyJH8ULWahEgM9lzBAqpFhIHRmxvb3IgMg,Floor 2 256 Church St Richmond  VIC  3121         ,-37.8188868,144.9989101,1,3121,OK,subpremise
0,ROOFTOP,"Floor 2/276-294 Brunswick St, Fitzroy VIC 3065, Australia",EjpGbG9vciAyLCAyNzYtMjk0IEJydW5zd2ljayBTdCwgRml0enJveSBWSUMgMzA2NSwgQXVzdHJhbGlhIiMaIQoWChQKEgnD05KkIEPWahGapT2_JW6jWBIHRmxvb3IgMg,Floor 2 276-294 Brunswick St Fitzroy  VIC  3065   ,-37.7986963,144.9786532,1,3065,OK,subpremise
0,ROOFTOP,"Floor 2/205 Johnston St, Fitzroy VIC 3065, Australia",EjVGbG9vciAyLCAyMDUgSm9obnN0b24gU3QsIEZpdHpyb3kgVklDIDMwNjUsIEF1c3RyYWxpYSIjGiEKFgoUChIJOXjSMCBD1moRZCS6JwVN5O8SB0Zsb29yIDI,Floor 2 2A/205 Johnston St Fitzroy  VIC  3065     ,-37.7985283,144.9822237,2,3065,OK,subpremise
